"Reference","Qty","Value","DNP","Footprint","Datasheet","Parameter"
"C1,C2,C3,C4,C5,C6,C9,C15,C22,C23,C24,C25,C31,C32,C33,C34","16","100n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C7","1","470n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C8,C17,C26","3","1n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C10","1","220p","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C11,C12,C13","3","10u","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","",""
"C14","1","4.7n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C16,C18,C19,C20,C21,C27,C28,C29,C30","9","2.2u","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"D1,D2,D3","3","LED","","LED_THT:LED_D5.0mm","",""
"D4,D7,D8,D9,D10,D11,D12","7","1N4148","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf",""
"J1","1","Input","","PCM_Eurocad:PJ301M-12","",""
"J2","1","Feedback","","PCM_Eurocad:PJ301M-12","",""
"J4","1","Eurorack_Power_16pin_Unshrouded","","PCM_4ms_Connector:Pins_2x08_2.54mm_TH_EuroPower","",""
"J5","1","DryWet","","PCM_Eurocad:PJ301M-12","",""
"J6","1","Rate","","PCM_Eurocad:PJ301M-12","",""
"J7","1","EffectsRouteIn","","PCM_Eurocad:PJ301M-12","",""
"J8","1","EffectsRouteOut","","PCM_Eurocad:PJ301M-12","",""
"J9","1","EffectsDryWet","","PCM_Eurocad:PJ301M-12","",""
"J10","1","Output","","PCM_Eurocad:PJ301M-12","",""
"Q1,Q3,Q4,Q6,Q8,Q10,Q12,Q13,Q15,Q17,Q19","11","Q_PMOS_GDS","","Package_TO_SOT_THT:TO-220-3_Vertical","",""
"Q2,Q5,Q7,Q9,Q11,Q14,Q16,Q18","8","Q_NMOS_GDS","","Package_TO_SOT_THT:TO-220-3_Vertical","",""
"R1,R4","2","15k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R2,R22","2","4.7k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R3,R5,R23,R36,R37,R39,R40","7","330k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R6,R42","2","51k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R7,R14","2","47k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R8,R26,R27,R41","4","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R9,R51,R71","3","33k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R10,R28,R30,R38,R43,R54,R61,R62,R63,R74,R81,R82,R83","13","1k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R11,R18,R59,R60,R79,R80","6","6.8k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R13","1","3.3k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R15,R17,R47,R48,R52,R53,R67,R68,R72,R73","10","560","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R16,R49,R50,R69,R70","5","12k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R19,R31,R35","3","22k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R20,R29,R32,R33,R34,R57,R58,R77,R78","9","100k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R21","1","8.2k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R24","1","39k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R25,R44,R45,R46,R64,R65,R66","7","18k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R55,R56,R75,R76","4","5.6k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"RV1,RV3,RV7,RV8,RV10,RV11","6","10k","","PCM_Eurocad:Alpha9mmPot","","Dry/Wet CV,Dry/Wet CV Level,Effects Dry/Wet CV,Effects Dry/Wet CV Level,Feedback CV,Feedback CV Level"
"RV2,RV6,RV9","3","100k","","PCM_Eurocad:Alpha9mmPot","","Clock CV,Clock CV Level,Input Gain"
"RV4","1","20k","","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","",""
"RV5","1","1k","","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","",""
"RV12,RV15","2","10k","","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","",""
"RV13,RV14,RV16,RV17","4","50k","","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","",""
"SW1","1","EffectsRouting","","PCM_4ms_Switch:Switch_Toggle_SPDT_SubMini","",""
"TP1","1","FBI1","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP2","1","BBDIn","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP3","1","FBI2","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP4","1","Clock","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP5","1","BBDOut","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP6","1","FBClip","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP7","1","S&H","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP8","1","S&HOut","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP9","1","EDWVO","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP12,TP18","2","MixerV1","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP13,TP19","2","MixerV2","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP14,TP20","2","MixTune1","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP15,TP21","2","MixerV1o","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP16,TP22","2","MixerV2o","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"TP17,TP23","2","MixerOut","","PCM_4ms_TestPoint:TestPoint_Pad_06","",""
"U1,U2,U7,U9","4","TL074","","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
"U3,U8,U10","3","LM13700","","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm13700.pdf",""
"U4","1","V3205","","Package_DIP:DIP-14_W7.62mm_LongPads_8pin","",""
"U5","1","CD4046","","Package_DIP:DIP-16_W7.62mm_LongPads","",""
"U6","1","LF398_DIP8","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lf398-n.pdf",""
